state_id,state_abbr,county_name,latitude,longitude,population,doe_climate_zone,Residential Electricity  consumption (MWh),Residential Natural Gas  consumption (Mcf),Residential Electricity  utility customers,Residential Natural Gas  utility customers,Commercial Electricity  consumption (MWh),Commercial Electricity  consumption (MWh),Commercial Natural Gas  consumption (Mcf),Commercial Natural Gas  consumption (Mcf),Commercial Electricity  utility customers,Commercial Natural Gas  utility customers,Industry Electricity  consumption (MWh),Industry Natural Gas  consumption (Mcf),On Road Transportation Gasoline  consumption (gallons),On Road Transportation Diesel  consumption (gallons),Residential Electricity  GHG emissions mtons CO2e,Commercial Electricity  GHG emissions mtons CO2e,Industry Electricity  GHG emissions mtons CO2e,On-road Transportation Gasoline  GHG emissions mtons CO2e,On-road Transportation Diesel  GHG emissions mtons CO2e
8,CO,Adams County,39.874325,-104.331872,479977,5,1340094.76286816,9725503.02940225,165451.990614588,142571.928657568,1829129.0063475398,1844823.7629542,4036932.12167515,4604903.47950216,22848.7674682702,8946.67747965776,509767.1253851265,2136296.6786111896,200642545,59541605,836881.3074265099,1142280.3197944297,318346.57532896363,2166034.507865032,753511.919894964
8,CO,Alamosa County,37.568442,-105.788041,16353,6,55105.0844704415,348672.102915121,6703.44694522854,3780.85689418562,77844.0416047116,79539.8063267155,194925.000985192,222534.619793723,1615.49335784279,632.65168490929,16289.546664889624,9839.309442959644,7538115,2860714,34412.80155350352,48613.14671067321,10172.726204168552,81377.64208610401,36202.955872795195
8,CO,Arapahoe County,39.644554,-104.331706,617668,5,1894408.28234475,13779941.4218941,241982.677787326,202335.108711591,2343804.38482945,2364618.01135003,5438837.18641484,6233479.43279974,37487.0328733584,14743.2613780833,1257255.5816141914,7867039.590702687,209855359,43958757,1183046.8441911642,1463692.0703502742,785148.7253473251,2265491.3455887665,556307.6000935176
8,CO,Archuleta County,37.202395,-107.050863,12355,6,43977.6389384244,220961.101836135,8932.28327348006,2347.78319587809,33068.5479265952,26311.1350985763,0.084623746653139,0.0504134961899345,1308.75411268276,0.013747564026834,22675.05242595883,19278.698826741842,6437525,2563559,27463.77718359939,20651.113928894476,14160.437042218331,69496.23418724001,32442.394924591197
8,CO,Baca County,37.306693,-102.537758,3648,4,12830.1219565726,77441.4594382834,2224.85092578706,1211.90614458541,28744.6453121704,19029.2777473949,42441.9776042983,25284.2560258848,343.89792340747,164.163799496619,61885.31936913301,183769.27178394678,3342254,1570869,8012.335795177193,17950.862145654923,38647.01841928053,36081.2682975584,19879.6877593992
8,CO,Bent County,37.931891,-103.077584,5816,5,13698.4114786775,89030.53153813051,2184.99690114242,1338.90229746112,8894.3632948831,6719.29669100135,34266.9536331885,20414.0918447899,257.540895200431,133.458148256615,13059.50777105195,0,2890576,1220608,8554.577501225393,5554.47763038563,8155.585888861396,31205.183146009604,15447.0588678144
8,CO,Boulder County,40.09497,-105.397691,313961,5,918667.521033739,7079886.00180491,130563.77743553,107995.109429503,1456407.58826561,1354003.0228594101,3355538.04638063,3837164.01912558,25006.064922087,9792.8036233833,530255.5414713715,1348353.2604756851,102661642,23497426,573702.470448818,909517.9836424185,331141.47082176985,1108282.6885299233,297365.02027195675
8,CO,Broomfield County,39.953302,-105.052038,62449,5,197496.81158086198,1407532.5208964602,25449.7837874513,21923.1644478594,332871.485310172,340156.234703155,689450.806155914,786682.596930961,3725.17772177673,1468.18644946771,120024.34424253766,389106.4682456257,31471961,5000141,123335.59869647773,207876.28722252345,74954.49793246183,339755.2276671056,63277.86838556879
8,CO,Chaffee County,38.738224,-106.316685,18507,6,68659.829181718,403200.51343359397,10310.2361755685,4782.31227114841,49928.1002916523,47957.003612831504,162969.03737146102,175031.96545354102,2184.66506830639,855.448511465782,21009.86555630247,98007.39909977668,9137934,3514506,42877.66000241432,31179.80534449013,13120.537623758642,98648.47146248641,44476.835374900795
8,CO,Cheyenne County,38.835386,-102.604585,2071,5,7278.04823250488,42807.9759542983,920.627969291197,563.322075108329,17773.3442237329,5448.0970299072,41040.3901075131,19560.3819711371,400.650349249699,153.827996583344,38343.2774409339,7755.78793579499,2754066,1501524,4545.09836848837,11099.349063542559,23945.151525782883,29731.490860713602,19002.111750403197
